gr3_MQ_cuvette_blank1,,
Wavelength (nm),Abs,
850,-0.02963648923,
849,-0.02536986768,
848,-0.02404052019,
847,-0.02315698005,
846,-0.02231354266,
845,-0.02796020731,
844,-0.02785805985,
843,-0.02267456427,
842,-0.02820484899,
841,-0.02255460061,
840,-0.02424537204,
839,-0.02687812969,
838,-0.02813842334,
837,-0.02963692322,
836,-0.02826301567,
835,-0.02712070569,
834,-0.02150940709,
833,-0.02672772855,
832,-0.02759942599,
831,-0.02921441942,
830,-0.02715387382,
829,-0.0286735557,
828,-0.02655170858,
827,-0.0288064722,
826,-0.02764936723,
825,-0.02527741529,
824,-0.02550941333,
823,-0.02735697106,
822,-0.02973720431,
821,-0.02620929852,
820,-0.02771975286,
819,-0.02539423667,
818,-0.02794972248,
817,-0.0295055192,
816,-0.02697617747,
815,-0.02926828898,
814,-0.03052486107,
813,-0.0277900286,
812,-0.02621802315,
811,-0.02467894927,
810,-0.02793044969,
809,-0.02489298396,
808,-0.02516774461,
807,-0.0292678047,
806,-0.02877061814,
805,-0.02745957859,
804,-0.02841972373,
803,-0.02650918998,
802,-0.0291122254,
801,-0.02687963843,
800,-0.0274953451,
799,-0.02605876327,
798,-0.02739819139,
797,-0.02652424015,
796,-0.02895354107,
795,-0.02813114598,
794,-0.02810396999,
793,-0.02853235602,
792,-0.02611292899,
791,-0.02551092766,
790,-0.02793938108,
789,-0.02704448253,
788,-0.02582276426,
787,-0.02596723661,
786,-0.02897296101,
785,-0.02779750712,
784,-0.02839756198,
783,-0.0270841755,
782,-0.02556975,
781,-0.02823012508,
780,-0.02608543262,
779,-0.02683700621,
778,-0.02834043093,
777,-0.02788262814,
776,-0.0242263265,
775,-0.02652750351,
774,-0.02600122616,
773,-0.02673853561,
772,-0.02561880276,
771,-0.02734326199,
770,-0.02636942826,
769,-0.02641142532,
768,-0.02627285011,
767,-0.02659295686,
766,-0.02680527233,
765,-0.02689744905,
764,-0.02691146359,
763,-0.02680775337,
762,-0.0270282831,
761,-0.02696493827,
760,-0.02653846145,
759,-0.02616606466,
758,-0.02653407678,
757,-0.02697184682,
756,-0.02786849812,
755,-0.02636255883,
754,-0.02630213834,
753,-0.02685248107,
752,-0.02670684271,
751,-0.0263159778,
750,-0.02764538303,
749,-0.02737831138,
748,-0.02789729089,
747,-0.0273078233,
746,-0.02880627848,
745,-0.02638657764,
744,-0.02630379423,
743,-0.02686591446,
742,-0.02750443295,
741,-0.02713972144,
740,-0.02697992511,
739,-0.02752756327,
738,-0.02643933892,
737,-0.02720002644,
736,-0.02765699476,
735,-0.02782489546,
734,-0.02780581079,
733,-0.02744242176,
732,-0.02827111632,
731,-0.02826117165,
730,-0.02822211944,
729,-0.02794331498,
728,-0.02834557183,
727,-0.02729761228,
726,-0.02807388268,
725,-0.02871276252,
724,-0.02876272053,
723,-0.02812454663,
722,-0.02843097411,
721,-0.02863473445,
720,-0.02813085355,
719,-0.02903267182,
718,-0.02897615731,
717,-0.02905325219,
716,-0.02985771373,
715,-0.02853002958,
714,-0.0281585604,
713,-0.0295371525,
712,-0.02946604602,
711,-0.02953231521,
710,-0.03005249612,
709,-0.02957487851,
708,-0.03002370335,
707,-0.0302755367,
706,-0.03014741652,
705,-0.02980096824,
704,-0.03014215082,
703,-0.02960805409,
702,-0.03003418632,
701,-0.02990096807,
700,-0.02950817905,
699,-0.0294112321,
698,-0.0294227954,
697,-0.0300493557,
696,-0.03023642488,
695,-0.02936521918,
694,-0.02967642993,
693,-0.02887390926,
692,-0.02916407585,
691,-0.03070415184,
690,-0.0290361587,
689,-0.03011906333,
688,-0.03045937046,
687,-0.03005254455,
686,-0.02959224023,
685,-0.03054976277,
684,-0.03007988818,
683,-0.03044551797,
682,-0.02957299165,
681,-0.0290311221,
680,-0.02926877327,
679,-0.02966637164,
678,-0.02957671508,
677,-0.02923566662,
676,-0.02853095159,
675,-0.02914175764,
674,-0.02958696894,
673,-0.0292706117,
672,-0.02886959724,
671,-0.03039000742,
670,-0.02966946736,
669,-0.0289857462,
668,-0.02896211296,
667,-0.02931407094,
666,-0.02930274606,
665,-0.02870350517,
664,-0.02850191109,
663,-0.02841007337,
662,-0.02898211405,
661,-0.02997050621,
660,-0.02971017733,
659,-0.02982421778,
658,-0.0293887835,
657,-0.02947775275,
656,-0.03002491035,
655,-0.02944229171,
654,-0.02956554294,
653,-0.02937189676,
652,-0.02933163755,
651,-0.02920623869,
650,-0.02905058861,
649,-0.0296650175,
648,-0.02941331267,
647,-0.02943135798,
646,-0.02956476994,
645,-0.02940919995,
644,-0.02876247838,
643,-0.0292326659,
642,-0.02932016738,
641,-0.02949802019,
640,-0.02864946797,
639,-0.02870646119,
638,-0.0287815202,
637,-0.02888475917,
636,-0.02968203835,
635,-0.02971051633,
634,-0.02990570478,
633,-0.02934073471,
632,-0.02930719964,
631,-0.02990004979,
630,-0.0291282516,
629,-0.0293732509,
628,-0.02956588194,
627,-0.0299467314,
626,-0.02909600735,
625,-0.03001843579,
624,-0.02954155393,
623,-0.02938945964,
622,-0.02956278622,
621,-0.02932708897,
620,-0.02929142304,
619,-0.02951378934,
618,-0.0291631557,
617,-0.02948989347,
616,-0.02902681381,
615,-0.02976877242,
614,-0.02992948145,
613,-0.0300182905,
612,-0.03037827648,
611,-0.03015181236,
610,-0.02973594703,
609,-0.02994132042,
608,-0.02946188487,
607,-0.02919365279,
606,-0.02897034585,
605,-0.02878234349,
604,-0.02967599407,
603,-0.02989062667,
602,-0.02939371765,
601,-0.0290514119,
600,-0.02983601205,
599,-0.02934538014,
598,-0.02879508771,
597,-0.02945893444,
596,-0.02894462831,
595,-0.02827329934,
594,-0.02897165343,
593,-0.02911454998,
592,-0.02969378792,
591,-0.02911977842,
590,-0.0289525222,
589,-0.02889483608,
588,-0.02927143499,
587,-0.02929103561,
586,-0.02912147343,
585,-0.02937891148,
584,-0.02840590291,
583,-0.02934117056,
582,-0.02994001471,
581,-0.02974097431,
580,-0.02970645577,
579,-0.02909711935,
578,-0.02898613364,
577,-0.02855315432,
576,-0.02869192325,
575,-0.02903974243,
574,-0.0286081247,
573,-0.02840124816,
572,-0.02891716547,
571,-0.02896303311,
570,-0.02966482565,
569,-0.028548548,
568,-0.02873010933,
567,-0.02913202718,
566,-0.02971109748,
565,-0.02933981456,
564,-0.0290709734,
563,-0.02927104756,
562,-0.02808077447,
561,-0.02953318693,
560,-0.02877977677,
559,-0.02851277031,
558,-0.02908545174,
557,-0.02884610184,
556,-0.02856047451,
555,-0.02846156992,
554,-0.02877517417,
553,-0.02926156111,
552,-0.02920468897,
551,-0.02846583724,
550,-0.02814012207,
549,-0.02805068344,
548,-0.02869473398,
547,-0.0291488748,
546,-0.02877454273,
545,-0.02901683748,
544,-0.02861476503,
543,-0.02803952061,
542,-0.02862281166,
541,-0.02866909653,
540,-0.02816365659,
539,-0.02804248221,
538,-0.02854767628,
537,-0.02785810828,
536,-0.02767977677,
535,-0.02787753008,
534,-0.0280453451,
533,-0.02789651416,
532,-0.02791661397,
531,-0.02753596939,
530,-0.02764237113,
529,-0.02723824605,
528,-0.02761278674,
527,-0.02786393464,
526,-0.02763464861,
525,-0.02840270288,
524,-0.02828552388,
523,-0.0271297507,
522,-0.02684245631,
521,-0.0279539451,
520,-0.02795569226,
519,-0.02794579044,
518,-0.0271038767,
517,-0.02716165595,
516,-0.02823070623,
515,-0.02775418758,
514,-0.02702915855,
513,-0.0272032842,
512,-0.02707031369,
511,-0.02786184661,
510,-0.02704083361,
509,-0.02642832883,
508,-0.02715518698,
507,-0.02733747847,
506,-0.02752804942,
505,-0.02687340789,
504,-0.02798816748,
503,-0.02649847418,
502,-0.02738331817,
501,-0.02629424445,
500,-0.02653583139,
499,-0.02698259987,
498,-0.02696975507,
497,-0.02696751803,
496,-0.02643417567,
495,-0.02582905814,
494,-0.02681344934,
493,-0.02707897127,
492,-0.02665932477,
491,-0.02635705285,
490,-0.0271038767,
489,-0.02674389072,
488,-0.02612282522,
487,-0.02666073665,
486,-0.0254876893,
485,-0.02599274181,
484,-0.02490447275,
483,-0.02641347051,
482,-0.02632908523,
481,-0.0261639189,
480,-0.02673167177,
479,-0.02639476396,
478,-0.02568615042,
477,-0.02545907907,
476,-0.0259120781,
475,-0.02590603009,
474,-0.0249899663,
473,-0.02532386407,
472,-0.02445095964,
471,-0.02486017905,
470,-0.02563080937,
469,-0.02615202591,
468,-0.02581417933,
467,-0.02552410774,
466,-0.02623201162,
465,-0.02557131089,
464,-0.02493453771,
463,-0.02454393171,
462,-0.02491894364,
461,-0.02497906797,
460,-0.02417887934,
459,-0.02534193359,
458,-0.02490799315,
457,-0.0249766726,
456,-0.02484644018,
455,-0.02393068559,
454,-0.02470966429,
453,-0.0239250008,
452,-0.02497774735,
451,-0.0241415631,
450,-0.02446696162,
449,-0.02409258857,
448,-0.02372421511,
447,-0.02346791327,
446,-0.0231251251,
445,-0.02344539948,
444,-0.0235042572,
443,-0.02330410853,
442,-0.02270104736,
441,-0.02347615361,
440,-0.02339771949,
439,-0.02250352874,
438,-0.02329547331,
437,-0.02358781919,
436,-0.02245082892,
435,-0.02293776721,
434,-0.02292023413,
433,-0.02247629501,
432,-0.02250180766,
431,-0.02216061763,
430,-0.02213542722,
429,-0.02235529386,
428,-0.02378445491,
427,-0.02278982662,
426,-0.02237589657,
425,-0.02209380269,
424,-0.0232633315,
423,-0.02472135425,
422,-0.0241074767,
421,-0.02316473611,
420,-0.02385492995,
419,-0.02330415696,
418,-0.02150221355,
417,-0.02013757825,
416,-0.02020627633,
415,-0.02191377804,
414,-0.02219421789,
413,-0.02193228528,
412,-0.0214057304,
411,-0.02148388512,
410,-0.02177533694,
409,-0.02186819352,
408,-0.02170314454,
407,-0.02183894999,
406,-0.02163463458,
405,-0.02085579,
404,-0.02155966125,
403,-0.02048080601,
402,-0.02081798948,
401,-0.02098968998,
400,-0.02039945871,
399,-0.01998457871,
398,-0.02022179216,
397,-0.0202027671,
396,-0.02058983967,
395,-0.02015591599,
394,-0.02020573243,
393,-0.01937738247,
392,-0.02041625232,
391,-0.01702993736,
390,-0.01750036329,
389,-0.01900899969,
388,-0.01732051373,
387,-0.01663160697,
386,-0.01667859033,
385,-0.01526540145,
384,-0.01521821506,
383,-0.01568835787,
382,-0.01465817448,
381,-0.01395209413,
380,-0.01192542166,
379,-0.01400302816,
378,-0.01337319892,
377,-0.0134557737,
376,-0.01079648174,
375,-0.0110260481,
374,-0.01001614984,
373,-0.01146495063,
372,-0.01297682337,
371,-0.01039926242,
370,-0.009855086915,
369,-0.007574528921,
368,-0.005866649561,
367,-0.006602406967,
366,-0.008784777485,
365,-0.003117311746,
364,-0.004313578364,
363,-0.002174147405,
362,0.0001624907309,
361,-0.002132213442,
360,0.004353897646,
359,-0.001867482904,
358,0.001726215007,
357,0.005682616495,
356,0.007232345641,
355,0.004780352116,
354,0.006961248815,
353,0.01711431146,
352,0.0008235140122,
351,0.009063301608,
350,-0.007008970249,
349,0.0219758451,
348,0.02643379383,
347,0.01324986946,
346,0.01204769779,
345,0.02800417691,
344,0.02601416036,
343,0.01946252026,
342,0.0331966728,
341,0.03510714322,
340,0.02827702463,
339,0.03502817452,
338,0.03483819216,
337,0.04620858282,
336,0.04980815947,
335,0.04322491214,
334,0.04765739664,
333,0.04528031126,
332,0.04927688465,
331,0.04879946262,
330,0.05670898408,
329,0.04860663414,
328,0.05880941078,
327,0.06350916624,
326,0.04701504856,
325,0.05589115992,
324,0.0564709194,
323,0.059531115,
322,0.06110048667,
321,0.06583090127,
320,0.05096402764,
319,0.05820607021,
318,0.05973096564,
317,0.05273297429,
316,0.05601350591,
315,0.05275568366,
314,0.05446789414,
313,0.042618379,
312,0.03615297005,
311,0.02546211146,
310,0.026703123,
309,0.01422991324,
308,0.01829837263,
307,0.01018646732,
306,0.007292229217,
305,-0.002697825897,
304,-0.01242998336,
303,-0.02900841087,
302,-0.03693007305,
301,-0.04830856621,
300,-0.05708405748,
299,-0.07024753094,
298,-0.07976860553,
297,-0.1002493575,
296,-0.102341041,
295,-0.1174721941,
294,-0.119079642,
293,-0.1197190285,
292,-0.1265327036,
291,-0.1270609945,
290,-0.1317905337,
289,-0.133516565,
288,-0.1352256089,
287,-0.1396163553,
286,-0.1288864315,
285,-0.1319893897,
284,-0.126476869,
283,-0.1334106475,
282,-0.1297786981,
281,-0.1293463409,
280,-0.1280358285,
279,-0.1306394637,
278,-0.1251294315,
277,-0.1230275035,
276,-0.1265933961,
275,-0.1256226897,
274,-0.1301247627,
273,-0.1254526228,
272,-0.1236236393,
271,-0.1237749234,
270,-0.125215441,
269,-0.1210893989,
268,-0.1197793037,
267,-0.1208948568,
266,-0.1161533073,
265,-0.1173678935,
264,-0.1148122326,
263,-0.1077892184,
262,-0.1072478592,
261,-0.1028673872,
260,-0.09769631922,
259,-0.09565793723,
258,-0.08983098716,
257,-0.0873112753,
256,-0.08716974407,
255,-0.07910566777,
254,-0.07585637271,
253,-0.06730740517,
252,-0.06810769439,
251,-0.06008103862,
250,-0.05351045355,

